經度,緯度,屋齡,面積,建物類型,用途,樓別/樓高,佈局,電梯,管理員,車位數量,價格,行政區,交易年份
120.72311142337166,24.26123894126858,28,10.40,住宅大樓(11層含以上有電梯),住家用,十七層/二十層,1房1衛,有,有,0,"2,080,000",豐原區,113
120.7274622314862,24.243847498285177,5,55.09,透天厝,住家用,全/四層,4房3廳3衛,無,無,0,"20,580,000",豐原區,113
120.70569818843403,24.240141107506513,50,26.14,透天厝,住家用,全/二層,3房2廳1衛,無,無,0,"9,000,000",豐原區,113
120.73692527040456,24.24878508999387,9,88.53,透天厝,住家用,全/四層,6房2廳7衛,有,無,0,"29,000,000",豐原區,113
120.72441782431281,24.24457338485385,23,28.78,住宅大樓(11層含以上有電梯),住家用,三層/十四層,3房1廳1衛,有,有,0,"7,000,000",豐原區,113
120.7012188362808,24.248114199622012,7,66.94,住宅大樓(11層含以上有電梯),住家用,九層/十二層,4房2廳2衛,有,有,1,"21,600,000",豐原區,113
120.72236569241292,24.241815741342727,26,36.27,華廈(10層含以下有電梯),住家用,九層/九層,3房2廳2衛,有,有,1,"8,460,000",豐原區,113
120.71023239173543,24.238136294081542,33,104.28,住宅大樓(11層含以上有電梯),住家用,十四層/十六層,4房2廳3衛,有,有,2,"15,500,000",豐原區,113
120.72660527217562,24.239349412908677,26,30.63,華廈(10層含以下有電梯),住家用,六層/八層,3房2廳1衛,有,有,1,"7,200,000",豐原區,113
120.72854348629944,24.244770421875685,21,47.04,華廈(10層含以下有電梯),住家用,三層/九層,4房2廳2衛,有,有,1,"11,500,000",豐原區,113
120.72841863156216,24.257194391984587,5,29.96,住宅大樓(11層含以上有電梯),住家用,三層/十五層,2房1廳1衛,有,有,1,"11,200,000",豐原區,113
120.7248421366885,24.24416783803241,7,71.97,住宅大樓(11層含以上有電梯),商業用,"一層,見其他登記事項/十四層",2房2廳1衛,有,有,1,"21,500,000",豐原區,113
120.72574085973771,24.25672909961711,14,22.61,華廈(10層含以下有電梯),辦公用,八層/九層,2房1廳2衛,有,有,1,"7,550,000",豐原區,113
